Iteration,AvgIterTime(s),K=1_ASR(%),K=1_AvgHS,K=1_AvgQ,K=1_AvgEvalTime(s),K=1_AvgTotalTime(s),K=4_ASR(%),K=4_AvgHS,K=4_AvgQ,K=4_AvgEvalTime(s),K=4_AvgTotalTime(s),K=8_ASR(%),K=8_AvgHS,K=8_AvgQ,K=8_AvgEvalTime(s),K=8_AvgTotalTime(s),K=12_ASR(%),K=12_AvgHS,K=12_AvgQ,K=12_AvgEvalTime(s),K=12_AvgTotalTime(s),K=16_ASR(%),K=16_AvgHS,K=16_AvgQ,K=16_AvgEvalTime(s),K=16_AvgTotalTime(s)
1,0.89,28.00,1.96,1.00,5.96,6.85,82.00,3.68,2.36,13.79,14.68,94.00,4.04,2.92,16.84,17.73,94.00,4.04,3.16,17.77,18.66,96.00,4.12,3.38,18.52,19.41
2,1.93,40.00,2.34,1.00,5.83,7.76,82.00,3.66,2.30,13.54,15.47,90.00,3.90,2.82,16.54,18.47,94.00,4.10,3.18,18.58,20.51,96.00,4.12,3.36,19.42,21.34
3,2.90,42.00,2.44,1.00,5.58,8.48,86.00,3.90,2.14,12.15,15.05,94.00,4.08,2.56,14.53,17.43,94.00,4.12,2.80,15.85,18.75,96.00,4.14,3.00,16.90,19.80
4,3.86,58.00,3.00,1.00,5.55,9.41,88.00,4.00,1.88,10.33,14.18,96.00,4.22,2.28,12.59,16.44,96.00,4.22,2.44,13.48,17.34,96.00,4.22,2.60,14.36,18.21
5,4.85,66.00,3.32,1.00,5.38,10.23,88.00,4.08,1.66,8.92,13.77,96.00,4.32,1.98,10.71,15.57,96.00,4.32,2.14,11.58,16.43,98.00,4.38,2.30,12.49,17.34
6,5.81,64.00,3.28,1.00,5.61,11.42,88.00,4.14,1.74,9.53,15.34,96.00,4.38,2.14,11.80,17.61,96.00,4.38,2.30,12.70,18.51,96.00,4.38,2.46,13.54,19.35
7,6.76,66.00,3.34,1.00,5.53,12.30,86.00,4.08,1.70,9.20,15.96,92.00,4.32,2.12,11.50,18.26,96.00,4.44,2.32,12.62,19.38,96.00,4.44,2.48,13.52,20.29
8,7.70,70.00,3.48,1.00,5.39,13.08,88.00,4.12,1.68,9.09,16.78,96.00,4.44,2.00,10.87,18.57,100.00,4.58,2.08,11.26,18.96,100.00,4.58,2.08,11.26,18.96
9,8.63,68.00,3.44,1.00,5.19,13.82,90.00,4.20,1.62,8.42,17.05,98.00,4.48,1.90,10.03,18.66,100.00,4.56,1.92,10.16,18.79,100.00,4.56,1.92,10.16,18.79
10,9.56,70.00,3.56,1.00,5.31,14.87,92.00,4.30,1.56,8.18,17.74,94.00,4.38,1.82,9.66,19.22,100.00,4.60,1.92,10.26,19.81,100.00,4.60,1.92,10.26,19.81
11,10.49,68.00,3.48,1.00,5.36,15.85,92.00,4.30,1.62,8.45,18.94,96.00,4.46,1.82,9.56,20.05,98.00,4.54,1.94,10.27,20.76,100.00,4.62,1.98,10.49,20.98
12,11.41,68.00,3.52,1.00,5.30,16.72,90.00,4.24,1.66,8.57,19.98,96.00,4.46,1.96,10.26,21.67,98.00,4.54,2.12,11.12,22.54,100.00,4.62,2.18,11.45,22.87
13,12.33,74.00,3.68,1.00,5.21,17.54,94.00,4.36,1.52,7.82,20.15,100.00,4.56,1.64,8.49,20.82,100.00,4.56,1.64,8.49,20.82,100.00,4.56,1.64,8.49,20.82
14,13.23,74.00,3.66,1.00,5.25,18.48,94.00,4.36,1.56,8.17,21.40,98.00,4.50,1.74,8.99,22.23,100.00,4.56,1.76,9.10,22.33,100.00,4.56,1.76,9.10,22.33
15,14.14,72.00,3.62,1.00,5.33,19.47,92.00,4.32,1.56,8.30,22.44,96.00,4.46,1.76,9.28,23.42,100.00,4.60,1.86,9.78,23.92,100.00,4.60,1.86,9.78,23.92
16,15.06,72.00,3.62,1.00,5.36,20.42,90.00,4.28,1.58,8.29,23.35,96.00,4.48,1.84,9.63,24.69,100.00,4.62,1.98,10.29,25.35,100.00,4.62,1.98,10.29,25.35
17,15.96,70.00,3.56,1.00,5.34,21.29,90.00,4.30,1.60,8.42,24.38,96.00,4.50,1.82,9.52,25.47,98.00,4.58,1.98,10.28,26.23,100.00,4.64,2.00,10.38,26.34
18,16.85,70.00,3.62,1.00,5.29,22.14,90.00,4.36,1.64,8.64,25.48,96.00,4.56,1.92,9.90,26.75,96.00,4.56,2.08,10.65,27.50,100.00,4.70,2.16,11.04,27.89
19,17.75,68.00,3.54,1.00,5.20,22.96,90.00,4.36,1.64,8.62,26.38,94.00,4.48,2.00,10.41,28.17,96.00,4.56,2.18,11.27,29.02,98.00,4.64,2.28,11.73,29.48
20,18.67,66.00,3.44,1.00,5.19,23.86,86.00,4.20,1.66,8.76,27.43,96.00,4.54,2.10,10.97,29.64,98.00,4.62,2.20,11.53,30.19,100.00,4.70,2.22,11.66,30.33
21,19.57,62.00,3.30,1.00,5.18,24.74,86.00,4.18,1.70,8.95,28.52,92.00,4.40,2.16,11.14,30.71,98.00,4.60,2.30,11.89,31.45,100.00,4.68,2.34,12.17,31.73
22,20.50,62.00,3.30,1.00,5.22,25.71,86.00,4.18,1.76,9.28,29.78,90.00,4.32,2.22,11.60,32.09,98.00,4.60,2.40,12.52,33.02,100.00,4.68,2.44,12.80,33.30
23,21.42,66.00,3.44,1.00,5.28,26.70,88.00,4.24,1.72,8.99,30.41,90.00,4.30,2.16,11.27,32.69,98.00,4.60,2.38,12.43,33.85,100.00,4.68,2.42,12.71,34.13
24,22.33,62.00,3.34,1.00,5.10,27.43,90.00,4.36,1.78,9.19,31.52,92.00,4.42,2.14,10.95,33.28,98.00,4.64,2.38,12.14,34.48,100.00,4.72,2.42,12.42,34.76
25,23.25,62.00,3.34,1.00,5.08,28.33,88.00,4.28,1.84,9.45,32.69,92.00,4.42,2.22,11.30,34.55,96.00,4.56,2.46,12.53,35.77,100.00,4.72,2.52,12.92,36.17